periodo,par_metro,c_digo,categoria,estaci_n,municipio,departamento,ao,altitud_m,longitud,latitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,anual
1961-1990,PRECIPITACIÓN,27010400,PM,Riogrande Almacén,Don Matías,Antioquia,1,2070,-75.40,6.55,83.1,91.4,149.7,247.6,376.9,355.6,367.0,397.4,381.8,319.5,207.9,104.5,3082.4
1961-1990,PRECIPITACIÓN,27010440,PM,Riogrande Mocorong,Don Matías,Antioquia,1,1784,-75.37,6.55,100.0,109.5,172.6,315.4,463.2,371.0,343.4,388.4,416.1,366.7,247.5,141.7,3435.3
1961-1990,PRECIPITACIÓN,27010750,PM,Entrerrios,Entrerrios,Antioquia,1,2285,-75.48,6.57,47.3,71.7,94.1,164.7,198.8,188.7,174.3,192.7,187.6,217.7,162.2,81.0,1780.6
1961-1990,PRECIPITACIÓN,27010830,PM,San Isidro,Entrerrios,Antioquia,1,2320,-75.52,6.56,66.0,101.1,139.4,181.3,228.5,239.0,205.4,214.3,252.0,357.3,179.9,91.6,2255.7
1961-1990,PRECIPITACIÓN,11110010,PM,Normal Santa Teresa,Frontino,Antioquia,1,1370,-76.13,6.76,69.3,92.8,130.6,248.4,353.2,277.5,225.6,301.7,299.1,377.9,284.5,125.6,2786.2
1961-1990,PRECIPITACIÓN,26220090,PM,Giraldo,Giraldo,Antioquia,1,10,-75.96,6.69,54.8,55.8,106.1,211.0,265.2,183.7,161.1,192.1,213.9,238.2,148.8,72.2,1902.7
1961-1990,PRECIPITACIÓN,27010530,PG,Alto San Andrés,Girardota,Antioquia,1,2240,-75.45,6.43,47.5,62.7,101.8,173.3,241.9,208.9,188.1,222.9,225.7,244.2,157.6,86.3,1960.9
1961-1990,PRECIPITACIÓN,27010560,PM,Girardota,Girardota,Antioquia,1,1350,-75.45,6.38,43.5,60.4,92.3,167.2,215.6,165.7,126.2,182.6,191.1,215.8,144.9,61.5,1666.9
1961-1990,PRECIPITACIÓN,27010820,PM,La Cuchilla,Girardota,Antioquia,1,1600,-75.45,6.37,47.2,74.5,104.5,193.6,231.6,151.7,140.6,202.6,238.4,266.5,171.1,84.2,1906.2
1961-1990,PRECIPITACIÓN,27010600,PM,Gómez Plata,Gómez Plata,Antioquia,1,1800,-75.23,6.70,99.3,123.5,170.1,356.5,464.4,336.5,301.0,363.2,393.6,407.8,253.4,145.9,3415.2
1961-1990,PRECIPITACIÓN,27010900,PM,Gómez Plata,Gómez Plata,Antioquia,1,1850,-75.22,6.68,102.3,123.1,146.5,326.7,448.8,307.8,261.3,348.4,372.6,412.4,240.9,131.2,3221.8
1961-1990,PRECIPITACIÓN,27010320,PM,Guadalupe Botacoma,Gómez Plata,Antioquia,1,1650,-75.23,6.78,74.8,88.5,130.9,328.1,427.0,383.3,310.8,360.8,398.0,391.3,254.0,125.6,3273.2
1961-1990,PRECIPITACIÓN,23080540,PM,Granada,Granada,Antioquia,1,2050,-75.18,6.15,124.7,141.5,200.7,322.0,386.0,311.0,255.8,406.1,398.9,387.1,254.3,171.9,3360.0
1961-1990,PRECIPITACIÓN,23080260,PG,La Mosca,Guarne,Antioquia,1,2250,-75.47,6.32,49.8,68.8,105.4,222.0,241.2,164.5,139.0,172.9,202.5,264.8,201.8,92.8,1925.4
