codigo_estacion,fecha_observacion,valor_observado,nombre_estacion,departamento,municipio,latitud,longitud,unidad_medida
28025501,2016-08-12 18:25:00,17.5,LA JAGUA DE IBIRICO  - AUT,CESAR,LA JAGUA DE IBIRICO,9.533055556,-73.18033056,°C
26125506,2016-08-21 14:25:00,33.3,EL AGRADO  - AUT,QUINDÍO,MONTENEGRO,4.518333333,-75.7925,°C
26065501,2016-08-22 14:10:00,28.2,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,3.215580556,-76.68021944,°C
21045501,2016-08-25 17:20:00,16.9,OPORAPA  - AUT,HUILA,OPORAPA,2.041941667,-76.01191667,°C
52055501,2016-09-12 17:00:00,20.6,OSPINA PEREZ  - AUT,NARIÑO,CONSACÁ,1.254722222,-77.48777778,°C
16055120,2016-09-18 19:00:00,18.0,AGUAS DE LA VIRGEN  - AUT,NORTE DE SANTANDER,OCAÑA,8.227694444,-73.3975,°C
26125502,2016-09-28 15:15:00,29.2,CAICEDONIA  - AUT,VALLE DEL CAUCA,CAICEDONIA,4.297558333,-75.86396111,°C
25025002,2016-12-11 16:00:00,35.1,LOS ALAMOS,MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,9.304,-74.274,°C
52055170,2017-01-04 22:00:00,15.1,LA JOSEFINA - AUT,NARIÑO,CONTADERO,0.930305556,-77.49119444,°C
25015020,2017-01-08 21:59:00,25.2,CERROMATOSO,CÓRDOBA,MONTELÍBANO,7.931,-75.554,°C
26145507,2017-02-23 01:30:00,16.1,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,5.038,-75.80599722,°C
44015070,2017-02-26 01:00:00,21.0,EL PEPINO - AUT,PUTUMAYO,MOCOA,1.082888889,-76.66711111,°C
26145508,2017-02-27 08:30:00,16.6,SAN JOSE  - AUT,CALDAS,SAN JOSE,5.094972222,-75.79174722,°C
26125505,2017-02-27 18:50:00,20.6,LA BELLA  - AUT,QUINDÍO,CALARCÁ,4.501111111,-75.67138889,°C
21205502,2017-03-02 14:15:00,20.7,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,4.544997222,-74.44055556,°C
21165501,2017-03-10 20:05:00,19.2,DOLORES  - AUT,TOLIMA,DOLORES,3.537155556,-74.82982778,°C
24015501,2017-05-25 08:00:00,20.9,BERTHA  - AUT,BOYACÁ,MONIQUIRÁ,5.882777778,-73.57333056,°C
16025502,2017-06-07 01:30:00,21.00146,FRANCISCO ROMERO  - AUT,NORTE DE SANTANDER,SALAZAR,7.739166667,-72.78055278,°C
26145505,2017-06-11 13:30:00,29.5642,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,4.979219444,-75.83555556,°C
26125507,2017-06-27 04:25:00,17.85996,ARTURO GOMEZ  - AUT,VALLE DEL CAUCA,ALCALÁ,4.671388889,-75.77721944,°C
26125504,2017-07-01 07:15:00,18.74993,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,4.395555556,-75.73416667,°C
21015502,2017-07-02 15:00:00,18.14618,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,1.851416667,-76.30433056,°C
21215501,2017-07-15 02:25:00,18.13366,ESPERANZA LA  - AUT,TOLIMA,IBAGUÉ,4.45,-75.25,°C
21206930,2017-07-21 03:00:00,7.1,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRÁ,5.086444444,-74.02216667,°C
23085260,2017-07-23 14:00:00,23.8,LA SELVA - AUT,ANTIOQUIA,RIONEGRO,6.131916667,-75.41455556,°C
23025501,2017-08-03 18:05:00,24.04432,MANZANARES  - AUT,CALDAS,MANZANARES,5.163913889,-75.11740833,°C
23065501,2017-08-05 10:40:00,25.81313,PACHO  - AUT,CUNDINAMARCA,PACHO,5.129127778,-74.15769722,°C
16015502,2017-08-16 09:10:00,23.13652,BLONAY  - AUT,NORTE DE SANTANDER,CHINÁCOTA,7.564997222,-72.62110833,°C
26125504,2017-08-18 02:10:00,19.04118,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,4.395555556,-75.73416667,°C
28045501,2017-08-22 11:45:00,27.52435,PUEBLO BELLO  - AUT,CESAR,PUEBLO BELLO,10.42166667,-73.57471944,°C
26145504,2017-08-29 22:55:00,16.79617,OSPIRMA  - AUT,RISARALDA,GUÁTICA,5.325552778,-75.812775,°C
52055170,2017-09-16 16:00:00,17.7,LA JOSEFINA - AUT,NARIÑO,CONTADERO,0.930305556,-77.49119444,°C
21165502,2017-09-26 09:25:00,22.75627,VILLARICA  - AUT,TOLIMA,VILLARRICA,3.955641667,-74.59178611,°C
26125501,2017-09-28 04:40:00,16.64598,GENOVA  - AUT,QUINDÍO,GÉNOVA,4.204416667,-75.76866667,°C
26195501,2017-10-04 15:15:00,22.24236,ANDES  - AUT,ANTIOQUIA,ANDES,5.660108333,-75.91413889,°C
25025350,2017-10-09 04:00:00,24.5,PUERTA ROJA - AUT,SUCRE,SINCELEJO,9.316388889,-75.3875,°C
23025501,2017-10-15 00:50:00,17.96923,MANZANARES  - AUT,CALDAS,MANZANARES,5.163913889,-75.11740833,°C
24035501,2017-10-28 01:45:00,16.63128,ARATOCA  - AUT,SANTANDER,ARATOCA,6.70155,-73.06749167,°C
26175501,2017-11-16 08:05:00,19.05245,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,5.45,-75.63305556,°C
21105501,2017-11-28 20:45:00,19.26281,ALGECIRAS  - AUT,HUILA,ALGECIRAS,2.595027778,-75.22852778,°C
21215501,2017-12-03 12:05:00,26.5583,ESPERANZA LA  - AUT,TOLIMA,IBAGUÉ,4.45,-75.25,°C
21085501,2017-12-05 00:40:00,18.53925,TERUEL  - AUT,HUILA,TERUEL,2.762997222,-75.61144167,°C
26125501,2018-01-06 07:00:00,16.2069,GENOVA  - AUT,QUINDÍO,GÉNOVA,4.204416667,-75.76866667,°C
24015503,2018-01-13 22:35:00,16.14573,CONFINES  - AUT,SANTANDER,CONFINES,6.373027778,-73.20760833,°C
21015502,2018-01-29 19:30:00,18.21642,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,1.851416667,-76.30433056,°C
23055501,2018-02-08 14:00:00,23.1103,SANTA HELENA  - AUT,CALDAS,MARQUETALIA,5.317497222,-74.99610833,°C
26175501,2018-02-14 02:40:00,19.26967,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,5.45,-75.63305556,°C
26055501,2018-02-24 02:50:00,16.36369,GINEBRA  - AUT,VALLE DEL CAUCA,GINEBRA,3.738388889,-76.22083056,°C
21165501,2018-02-27 19:15:00,18.45221,DOLORES  - AUT,TOLIMA,DOLORES,3.537155556,-74.82982778,°C
26185030,2018-03-01 06:00:00,12.7,JERICO - AUT,ANTIOQUIA,JERICÓ,5.799166667,-75.78952778,°C
12015100,2018-03-28 23:00:00,26.6,PISTA INDIRA - AUT,ANTIOQUIA,TURBO,7.94075,-76.69616667,°C
23125501,2018-04-04 23:20:00,17.30786,PAUNA  - AUT,BOYACÁ,PAUNA,5.657130556,-73.96032778,°C
22025501,2018-04-05 14:40:00,19.90947,ATACO  - AUT,TOLIMA,ATACO,3.416666667,-75.63305556,°C
24025501,2018-04-22 10:40:00,24.71359,ALBERTO SANTOS  - AUT,SANTANDER,SOCORRO,6.493052778,-73.22111111,°C
26145508,2018-04-28 10:25:00,17.90713,SAN JOSE  - AUT,CALDAS,SAN JOSE,5.094972222,-75.79174722,°C
29065501,2018-05-03 11:15:00,24.52661,"CIENAGA,LA  - AUT",MAGDALENA,CIÉNAGA,10.89785833,-74.08156667,°C
26155505,2018-05-16 13:50:00,27.02794,GRANJA LUKER  - AUT,CALDAS,PALESTINA,5.070275,-75.68555278,°C
25025280,2018-05-24 06:00:00,24.7,EL TESORO IDEAM  - AUT,SUCRE,MORROA,9.357083333,-75.28925,°C
27015320,2018-06-14 04:00:00,12.2,ARAGON - AUT,ANTIOQUIA,SANTA ROSA DE OSOS,6.781083333,-75.560888889,°C
26125507,2018-07-19 18:35:00,23.3046,ARTURO GOMEZ  - AUT,VALLE DEL CAUCA,ALCALÁ,4.671388889,-75.77721944,°C
26135501,2018-07-30 17:55:00,23.07025,EL PILAMO  - AUT,RISARALDA,PEREIRA,4.868333333,-75.79333333,°C
26055120,2018-08-01 21:00:00,21.0,UNIVERSIDAD DEL VALLE  - AUT,VALLE DEL CAUCA,CALI,3.378,-76.53388889,°C
21085501,2018-08-05 02:50:00,16.75068,TERUEL  - AUT,HUILA,TERUEL,2.762997222,-75.61144167,°C
21045501,2018-08-05 14:05:00,23.81326,OPORAPA  - AUT,HUILA,OPORAPA,2.041941667,-76.01191667,°C
26155502,2018-08-06 14:20:00,29.44868,CENICAFE  - AUT,CALDAS,MANIZALES,4.991111111,-75.59749722,°C
23065501,2018-08-14 09:30:00,20.56438,PACHO  - AUT,CUNDINAMARCA,PACHO,5.129127778,-74.15769722,°C
26145504,2018-08-28 05:05:00,15.0491,OSPIRMA  - AUT,RISARALDA,GUÁTICA,5.325552778,-75.812775,°C
21015501,2018-09-17 07:20:00,17.23273,PITALITO  - AUT,HUILA,PITALITO,1.777527778,-76.19163889,°C
26155230,2018-09-19 10:00:00,24.2,EMAS - AUT,CALDAS,MANIZALES,5.08525,-75.50713889,°C
16015110,2018-09-24 08:00:00,28.3,UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT,NORTE DE SANTANDER,CÚCUTA,7.898777778,-72.48716667,°C
52015501,2018-09-28 16:15:00,26.12095,BALBOA  - AUT,CAUCA,BALBOA,2.125191667,-77.19266667,°C
26065501,2018-09-30 05:05:00,17.1172,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,3.215580556,-76.68021944,°C
23055501,2018-09-30 08:05:00,16.81765,SANTA HELENA  - AUT,CALDAS,MARQUETALIA,5.317497222,-74.99610833,°C
52055501,2018-10-05 05:00:00,14.95961,OSPINA PEREZ  - AUT,NARIÑO,CONSACÁ,1.254722222,-77.48777778,°C
26155502,2018-10-05 20:20:00,19.4259,CENICAFE  - AUT,CALDAS,MANIZALES,4.991111111,-75.59749722,°C
2120000102,2018-10-29 13:36:00,15.31,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.635,-74.205,°C
2120700037,2018-11-11 10:54:00,17.34,CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.556,-74.125,°C
26135503,2018-11-19 15:10:00,26.39078,NARANJAL  - AUT,CALDAS,CHINCHINA,4.971944444,-75.65221944,°C
26155503,2018-11-29 13:00:00,30.19012,PLANALTO  - AUT,CALDAS,MANIZALES,4.989722222,-75.58971944,°C
26135501,2018-12-19 12:45:00,31.10589,EL PILAMO  - AUT,RISARALDA,PEREIRA,4.868333333,-75.79333333,°C
54035501,2018-12-20 01:55:00,18.02771,SANTIAGO GUTIERREZ  - AUT,VALLE DEL CAUCA,ARGELIA,4.726388889,-76.11446944,°C
21165501,2018-12-21 21:20:00,16.95631,DOLORES  - AUT,TOLIMA,DOLORES,3.537155556,-74.82982778,°C
2120000104,2018-12-31 06:11:00,4.648,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.813,-74.031,°C
2120000106,2019-01-03 13:59:00,10.72,GRAN BRETAÑA - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.512,-74.164,°C
23065160,2019-01-11 14:50:00,24.731,ACOMODO EL,CUNDINAMARCA,LA VEGA,5.017,-74.333,°C
52015501,2019-01-14 19:10:00,17.17896,BALBOA  - AUT,CAUCA,BALBOA,2.125191667,-77.19266667,°C
2120000107,2019-01-15 17:20:00,17.05,LA FISCALA - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.536,-74.106,°C
52055502,2019-01-28 08:50:00,19.06162,SANDONA  - AUT,NARIÑO,SANDONÁ,1.300888889,-77.46035833,°C
44035501,2019-02-06 04:50:00,18.50094,PAUJIL  - AUT,CAQUETA,EL PAUJIL,1.573819444,-75.3402,°C
52055502,2019-02-09 10:05:00,23.59288,SANDONA  - AUT,NARIÑO,SANDONÁ,1.300888889,-77.46035833,°C
48015040,2019-02-14 06:00:00,23.7,PTO NARIÑO,AMAZONAS,PUERTO NARIÑO,-3.78,-70.363,°C
26145505,2019-02-19 09:10:00,23.0576,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,4.979219444,-75.83555556,°C
21015502,2019-02-20 16:10:00,22.35723,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,1.851416667,-76.30433056,°C
26125505,2019-03-02 19:50:00,18.81743,LA BELLA  - AUT,QUINDÍO,CALARCÁ,4.501111111,-75.67138889,°C
2120000105,2019-03-11 09:32:00,12.94,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.763,-74.022,°C
2121500042,2019-03-14 11:00:00,18.1,EL SILENCIO - AUT,TOLIMA,IBAGUÉ,4.600222222,-75.336,°C
24055501,2019-03-14 21:25:00,20.33973,CHUCURI  - AUT,SANTANDER,SAN VICENTE DE CHUCURÍ,6.863566667,-73.38411667,°C
2120000105,2019-03-16 12:27:00,17.1,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.763,-74.022,°C
11159010,2019-03-20 04:00:00,25.8,CAPURGANA - TX GPRS,CHOCÓ,ACANDÍ,8.616,-77.331,°C
26085501,2019-03-26 00:30:00,18.48933,LA CELIA  - AUT,RISARALDA,LA CELIA,5.001330556,-75.998,°C
21165502,2019-04-03 14:05:00,24.43824,VILLARICA  - AUT,TOLIMA,VILLARRICA,3.955641667,-74.59178611,°C
21205521,2019-04-09 23:40:00,10.512,SANTA HELENA  - AUT,CUNDINAMARCA,LA CALERA,4.738,-73.936,°C
2120000102,2019-04-13 15:52:00,18.4,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.635,-74.205,°C
16055501,2019-04-15 04:35:00,18.7378,GABRIEL MARIA  - AUT,NORTE DE SANTANDER,CONVENCIÓN,8.412497222,-73.33944167,°C
2120000105,2019-04-17 09:46:00,16.0,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.763,-74.022,°C
26135502,2019-04-23 02:00:00,16.53354,EL JAZMIN  - AUT,RISARALDA,SANTA ROSA DE CABAL,4.911944444,-75.62416389,°C
21205522,2019-05-06 00:10:00,13.246,TABIO  - AUT,CUNDINAMARCA,TABIO,4.918,-74.029,°C
16015502,2019-05-09 06:15:00,18.73558,BLONAY  - AUT,NORTE DE SANTANDER,CHINÁCOTA,7.564997222,-72.62110833,°C
23085501,2019-05-14 19:10:00,20.90938,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,6.061941667,-75.18666667,°C
52035501,2019-05-15 00:25:00,18.11675,EL SAUCE  - AUT,NARIÑO,LA UNIÓN,1.615555556,-77.10971944,°C
