producto,categoria,mercado,precio_kg,variacion_pct
Aguacate,Frutas frescas,"oPoeoroeoioroao,o o oMoeorocoaosoao",8500.0,0.0
Aguacate,Frutas frescas,oTouonojoao,8750.0,-0.01
Banano,Frutas frescas,"oAoromoeonoioao,o oMoeorocoaoro",1433.0,0.0
Banano,Frutas frescas,"oBooogoootoáo,o oCoooroaoboaosotoooso",2363.0,-0.02
Banano,Frutas frescas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",2700.0,0.0
Banano,Frutas frescas,"oCoaoloio,o o oCoaovoaosoao",2189.0,0.06
Banano,Frutas frescas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",2500.0,0.0
Banano,Frutas frescas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",1633.0,-0.18
Banano,Frutas frescas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",1500.0,0.0
Banano,Frutas frescas,"oMoeodoeololoíono,o oCoMoAo",1500.0,0.0
Banano,Frutas frescas,"oNoeoiovoao,o oSouoroaoboaosotoooso",1600.0,0.09
Banano,Frutas frescas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",1767.0,-0.03
Banano,Frutas frescas,"oPoeoroeoioroao,o o oMoeorocoaosoao",1700.0,-0.07
Banano,Frutas frescas,oSoaonotoao oMoaorotoao,1441.0,0.0
Banano,Frutas frescas,oTouonojoao,1850.0,-0.05
Coco,Frutas frescas,"oAoromoeonoioao,o oMoeorocoaoro",3633.0,0.0
Coco,Frutas frescas,"oBooogoootoáo,o oCoooroaoboaosotoooso",5677.0,0.0
Coco,Frutas frescas,"oCoaoloio,o o oCoaovoaosoao",4747.0,-0.02
Coco,Frutas frescas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",7419.0,0.0
Coco,Frutas frescas,"oMoeodoeololoíono,o oCoMoAo",6058.0,0.0
Coco,Frutas frescas,"oPoeoroeoioroao,o o oMoeorocoaosoao",4533.0,0.0
Granadilla,Frutas frescas,"oAoromoeonoioao,o oMoeorocoaoro",9289.0,0.06
Granadilla,Frutas frescas,"oBooogoootoáo,o oCoooroaoboaosotoooso",6500.0,0.03
Granadilla,Frutas frescas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",8304.0,-0.01
Granadilla,Frutas frescas,"oCoaoloio,o o oCoaovoaosoao",7111.0,0.07
Granadilla,Frutas frescas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",8571.0,0.0
Granadilla,Frutas frescas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",8667.0,0.0
Granadilla,Frutas frescas,"oMoeodoeololoíono,o oCoMoAo",4135.0,-0.04
Granadilla,Frutas frescas,"oNoeoiovoao,o oSouoroaoboaosotoooso",6000.0,-0.05
Granadilla,Frutas frescas,"oPoeoroeoioroao,o o oMoeorocoaosoao",6667.0,0.0
Granadilla,Frutas frescas,oTouonojoao,6633.0,-0.12
Guayaba,Frutas frescas,"oAoromoeonoioao,o oMoeorocoaoro",2067.0,0.0
Guayaba,Frutas frescas,"oBooogoootoáo,o oCoooroaoboaosotoooso",3482.0,0.13
Guayaba,Frutas frescas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",1180.0,0.03
Guayaba,Frutas frescas,"oCoaoloio,o o oCoaovoaosoao",1883.0,0.2
Guayaba,Frutas frescas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",3049.0,-0.01
Guayaba,Frutas frescas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",3800.0,0.09
Guayaba,Frutas frescas,"oMoeodoeololoíono,o oCoMoAo",3575.0,-0.03
Guayaba,Frutas frescas,"oNoeoiovoao,o oSouoroaoboaosotoooso",2000.0,0.0
Guayaba,Frutas frescas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",1938.0,0.03
Guayaba,Frutas frescas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",2633.0,-0.1
Guayaba,Frutas frescas,"oPoeoroeoioroao,o o oMoeorocoaosoao",3233.0,0.21
Guayaba,Frutas frescas,oTouonojoao,2724.0,0.07
Limón común,Frutas frescas,"oAoromoeonoioao,o oMoeorocoaoro",5000.0,0.0
Limón común,Frutas frescas,"oBooogoootoáo,o oCoooroaoboaosotoooso",3250.0,0.0
Limón común,Frutas frescas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",5100.0,0.02
Limón común,Frutas frescas,"oCoaoloio,o o oCoaovoaosoao",4917.0,-0.07
Limón común,Frutas frescas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",6417.0,0.0
Limón común,Frutas frescas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",3286.0,-0.04
Limón común,Frutas frescas,"oMoeodoeololoíono,o oCoMoAo",3643.0,0.0
Limón común,Frutas frescas,"oNoeoiovoao,o oSouoroaoboaosotoooso",4267.0,0.0
Limón común,Frutas frescas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",5750.0,0.0
Limón común,Frutas frescas,"oPoeoroeoioroao,o o oMoeorocoaosoao",5000.0,-0.12
Limón Tahití,Frutas frescas,"oAoromoeonoioao,o oMoeorocoaoro",1867.0,0.0
Limón Tahití,Frutas frescas,"oBooogoootoáo,o oCoooroaoboaosotoooso",3857.0,0.1
Limón Tahití,Frutas frescas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",3100.0,0.35
Limón Tahití,Frutas frescas,"oCoaoloio,o o oCoaovoaosoao",3283.0,0.06
Limón Tahití,Frutas frescas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",3030.0,-0.02
Limón Tahití,Frutas frescas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",3048.0,-0.04
Limón Tahití,Frutas frescas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",1800.0,-0.1
