codigo_estacion,nombre_estacion,departamento,municipio,latitud,longitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,anual,indicador
27010510,El Botón,ANTIOQUIA,SANTA ROSA DE OSOS,6.67,-75.57,61.7,80.8,123.6,182.4,223.2,141.7,160.3,164.9,179.9,230.8,177.0,96.7,1823.0,Precipitacion_Normal_mm
27010590,El Chaquiro,ANTIOQUIA,SANTA ROSA DE OSOS,6.75,-75.5,40.6,53.4,76.4,192.7,249.2,200.1,199.2,200.3,212.2,222.7,159.9,64.3,1870.9,Precipitacion_Normal_mm
27010700,Haiton,ANTIOQUIA,SANTA ROSA DE OSOS,6.62,-75.27,92.6,88.3,165.3,275.9,422.6,334.7,330.5,360.9,361.9,348.9,232.7,119.5,3133.8,Precipitacion_Normal_mm
27020290,Montanitas,ANTIOQUIA,SANTA ROSA DE OSOS,6.7,-75.4,61.7,69.3,119.5,221.3,318.1,273.7,264.7,266.8,275.8,268.3,174.4,87.1,2400.7,Precipitacion_Normal_mm
27010880,Montañitas,ANTIOQUIA,SANTA ROSA DE OSOS,6.7,-75.39,54.4,77.0,109.8,216.0,304.8,253.1,268.9,263.8,272.4,250.2,164.5,83.1,2317.8,Precipitacion_Normal_mm
27010420,Riogrande Bocacero,ANTIOQUIA,SANTA ROSA DE OSOS,6.52,-75.4,57.5,79.7,130.9,223.2,298.1,291.7,268.1,294.8,267.8,269.3,175.4,90.6,2447.0,Precipitacion_Normal_mm
27010430,Riogrande Bocatoma,ANTIOQUIA,SANTA ROSA DE OSOS,6.52,-75.42,55.0,71.5,107.3,199.3,275.9,242.3,243.3,248.6,242.7,257.2,157.7,82.3,2183.1,Precipitacion_Normal_mm
27010580,Rionegrito,ANTIOQUIA,SANTA ROSA DE OSOS,6.65,-75.35,68.3,71.7,132.2,240.3,339.0,289.5,279.0,294.9,323.3,289.1,195.0,95.1,2617.4,Precipitacion_Normal_mm
27010540,Santa Rosa,ANTIOQUIA,SANTA ROSA DE OSOS,6.65,-75.47,52.9,55.9,82.3,177.2,248.9,232.9,230.9,241.6,223.5,245.6,171.2,72.7,2035.6,Precipitacion_Normal_mm
27010660,Gabino,ANTIOQUIA,SANTO DOMINGO,6.55,-75.22,89.4,77.9,183.1,271.1,407.5,309.9,336.8,365.1,391.4,367.3,223.6,114.8,3137.9,Precipitacion_Normal_mm
23080330,Santo Domingo,ANTIOQUIA,SANTO DOMINGO,6.47,-75.17,84.8,107.1,188.8,338.9,368.6,262.7,245.7,329.2,367.4,354.4,256.9,115.6,3020.0,Precipitacion_Normal_mm
23080390,Santo Domingo,ANTIOQUIA,SANTO DOMINGO,6.47,-75.16,91.8,95.4,170.6,247.2,261.1,230.7,219.3,287.1,272.2,278.8,205.6,107.4,2467.1,Precipitacion_Normal_mm
23080350,Santuario,ANTIOQUIA,SANTUARIO,6.13,-75.27,102.4,121.8,162.6,268.4,341.8,260.3,230.1,319.5,351.1,318.0,234.3,128.9,2839.4,Precipitacion_Normal_mm
26180180,Sonson,ANTIOQUIA,SONSÓN,5.72,-75.29,80.0,105.0,150.8,250.3,255.2,209.5,153.9,226.9,282.6,291.0,221.5,120.8,2347.4,Precipitacion_Normal_mm
26200120,Otramina,ANTIOQUIA,TITIRIBÍ,6.07,-75.79,98.4,90.5,147.7,248.1,298.6,209.1,201.0,219.9,217.3,296.3,208.6,73.6,2309.1,Precipitacion_Normal_mm
26235030,Matanzas,ANTIOQUIA,TOLEDO,7.04,-75.67,28.6,33.9,67.8,159.1,269.4,270.8,263.5,285.4,292.6,292.3,165.2,69.2,2197.6,Precipitacion_Normal_mm
12020010,Pueblo Bello,ANTIOQUIA,TURBO,8.2,-76.52,33.1,36.3,25.4,157.7,199.1,172.8,161.9,167.8,155.5,165.3,107.3,74.3,1456.3,Precipitacion_Normal_mm
11070130,El Brechon,ANTIOQUIA,URRAO,6.13,-76.03,104.9,138.9,209.1,280.6,374.3,306.9,240.9,324.5,379.7,341.0,323.9,197.4,3222.0,Precipitacion_Normal_mm
23100030,El Tigre,ANTIOQUIA,VEGACHÍ,6.84,-74.79,64.1,64.0,120.1,289.7,340.9,276.2,236.0,306.8,335.5,331.6,235.4,84.2,2684.3,Precipitacion_Normal_mm
26205020,El Rosario,ANTIOQUIA,VENECIA,5.93,-75.72,82.8,97.9,155.3,250.2,321.3,236.5,176.9,228.3,274.6,314.0,231.5,147.4,2516.7,Precipitacion_Normal_mm
11060010,Buchado,ANTIOQUIA,VIGIA DEL FUERTE,6.42,-76.78,360.6,254.3,281.0,474.4,515.2,543.5,470.3,625.3,519.9,531.7,515.6,390.9,5482.7,Precipitacion_Normal_mm
11077030,La Playa,ANTIOQUIA,VIGIA DEL FUERTE,6.62,-76.75,300.1,299.8,271.0,439.8,548.5,585.4,483.0,612.3,524.9,503.7,532.3,482.1,5583.0,Precipitacion_Normal_mm
27020200,Cedeno,ANTIOQUIA,YARUMAL,7.07,-75.36,97.9,126.2,159.3,350.0,425.3,352.6,348.0,401.1,421.3,491.5,348.1,175.0,3696.2,Precipitacion_Normal_mm
27020130,La Teresita,ANTIOQUIA,YARUMAL,6.87,-75.45,62.6,82.9,129.0,264.7,351.5,307.1,303.8,310.9,295.9,301.5,192.8,95.2,2697.7,Precipitacion_Normal_mm
