codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0016015110,0068,2018-09-24T08:00:00.000,28.3,UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT,NORTE DE SANTANDER,CÚCUTA,CATATUMBO,7.898777778,-72.48716667,Temp Aire 2 m,°C
0029065501,0068,2018-05-03T11:15:00.000,24.52661,"CIENAGA,LA  - AUT",MAGDALENA,CIÉNAGA,BAJO MAGDALENA,10.89785833,-74.08156667,Temp Aire 2 m,°C
0021015501,0068,2018-09-17T07:20:00.000,17.23273,PITALITO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,1.777527778,-76.19163889,Temp Aire 2 m,°C
0052055502,0068,2019-01-28T08:50:00.000,19.06162,SANDONA  - AUT,NARIÑO,SANDONÁ,PATÍA,1.300888889,-77.46035833,Temp Aire 2 m,°C
0021206810,0068,2013-02-09T07:25:00.000,15.1,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.55,-74.233,Temp Aire 2 m,°C
0029035000,0068,2016-03-04T07:00:00.000,26.4,SINCERIN  - AUT,BOLIVAR,ARJONA,BAJO MAGDALENA,10.14258333,-75.27827778,Temp Aire 2 m,°C
2120000107,0068,2019-01-15T17:20:00.000,17.05,LA FISCALA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.536,-74.106,Temp Aire 2 m,°C
0023055501,0068,2018-09-30T08:05:00.000,16.81765,SANTA HELENA  - AUT,CALDAS,MARQUETALIA,MEDIO MAGDALENA,5.317497222,-74.99610833,Temp Aire 2 m,°C
0025015020,0068,2017-01-08T21:59:00.000,25.2,CERROMATOSO,CÓRDOBA,MONTELÍBANO,BAJO MAGDALENA- CAUCA -SAN JORGE,7.931,-75.554,Temp Aire 2 m,°C
0023015501,0068,2019-07-02T03:40:00.000,19.24062,FRESNO  - AUT,TOLIMA,FRESNO,MEDIO MAGDALENA,5.155638889,-75.00313611,Temp Aire 2 m,°C
0052055170,0068,2017-01-04T22:00:00.000,15.1,LA JOSEFINA - AUT,NARIÑO,CONTADERO,PATÍA,0.930305556,-77.49119444,Temp Aire 2 m,°C
0052055210,0068,2014-08-03T21:00:00.000,10.6,BOTANA - AUT,NARIÑO,PASTO,PATÍA,1.16,-77.27880556,Temp Aire 2 m,°C
0012015100,0068,2018-03-28T23:00:00.000,26.6,PISTA INDIRA - AUT,ANTIOQUIA,TURBO,CARIBE - LITORAL,7.94075,-76.69616667,Temp Aire 2 m,°C
0021202220,0068,2011-05-09T20:50:00.000,15.6,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
0026085501,0068,2019-07-01T15:20:00.000,23.94954,LA CELIA  - AUT,RISARALDA,LA CELIA,CAUCA,5.001330556,-75.998,Temp Aire 2 m,°C
0016055120,0068,2016-09-18T19:00:00.000,18,AGUAS DE LA VIRGEN  - AUT,NORTE DE SANTANDER,OCAÑA,CATATUMBO,8.227694444,-73.3975,Temp Aire 2 m,°C
0026125501,0068,2017-09-28T04:40:00.000,16.64598,GENOVA  - AUT,QUINDÍO,GÉNOVA,CAUCA,4.204416667,-75.76866667,Temp Aire 2 m,°C
0021015502,0068,2017-07-02T15:00:00.000,18.14618,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.851416667,-76.30433056,Temp Aire 2 m,°C
0026085170,0068,2009-05-14T22:00:00.000,23.6,BASE AEREA MARCO FIDEL SUAREZ  - AUT,VALLE DEL CAUCA,CALI,CAUCA,3.4545,-76.49972222,Temp Aire 2 m,°C
0026125507,0068,2018-07-19T18:35:00.000,23.3046,ARTURO GOMEZ  - AUT,VALLE DEL CAUCA,ALCALÁ,CAUCA,4.671388889,-75.77721944,Temp Aire 2 m,°C
2120000102,0068,2019-04-13T15:52:00.000,18.4,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.635,-74.205,Temp Aire 2 m,°C
0044035501,0068,2019-02-06T04:50:00.000,18.50094,PAUJIL  - AUT,CAQUETA,EL PAUJIL,CAQUETÁ,1.573819444,-75.3402,Temp Aire 2 m,°C
0026195501,0068,2017-10-04T15:15:00.000,22.24236,ANDES  - AUT,ANTIOQUIA,ANDES,CAUCA,5.660108333,-75.91413889,Temp Aire 2 m,°C
2120000104,0068,2019-05-16T21:10:00.000,13.6,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Temp Aire 2 m,°C
0026145504,0068,2017-08-29T22:55:00.000,16.79617,OSPIRMA  - AUT,RISARALDA,GUÁTICA,CAUCA,5.325552778,-75.812775,Temp Aire 2 m,°C
0024015503,0068,2018-01-13T22:35:00.000,16.14573,CONFINES  - AUT,SANTANDER,CONFINES,SOGAMOSO,6.373027778,-73.20760833,Temp Aire 2 m,°C
0021202220,0068,2013-11-28T17:35:00.000,16.2,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
0026185030,0068,2018-03-01T06:00:00.000,12.7,JERICO - AUT,ANTIOQUIA,JERICÓ,CAUCA,5.799166667,-75.78952778,Temp Aire 2 m,°C
0021206810,0068,2014-01-24T23:45:00.000,15.4,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.55,-74.233,Temp Aire 2 m,°C
0026135320,0068,2013-02-08T22:24:00.000,1.2,NEVADO SANTA ISABEL  - AUT,CALDAS,VILLAMARIA,CAUCA,4.802611111,-75.38047222,Temp Aire 2 m,°C
0026175501,0068,2017-11-16T08:05:00.000,19.05245,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,CAUCA,5.45,-75.63305556,Temp Aire 2 m,°C
0021206930,0068,2017-07-21T03:00:00.000,7.1,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRÁ,ALTO MAGDALENA,5.086444444,-74.02216667,Temp Aire 2 m,°C
0026135503,0068,2018-11-19T15:10:00.000,26.39078,NARANJAL  - AUT,CALDAS,CHINCHINA,CAUCA,4.971944444,-75.65221944,Temp Aire 2 m,°C
0021206810,0068,2010-11-21T11:30:00.000,19.4,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.55,-74.233,Temp Aire 2 m,°C
0021202240,0068,2015-03-26T01:05:00.000,13.73,UAN SEDE CIRCUNVALAR - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.05,Temp Aire 2 m,°C
2120000104,0068,2018-12-31T06:11:00.000,4.648,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Temp Aire 2 m,°C
0021205502,0068,2017-03-02T14:15:00.000,20.7,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,ALTO MAGDALENA,4.544997222,-74.44055556,Temp Aire 2 m,°C
0021202230,0068,2013-07-13T14:45:00.000,16.9,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.467,-74.117,Temp Aire 2 m,°C
0026155230,0068,2018-09-19T10:00:00.000,24.2,EMAS - AUT,CALDAS,MANIZALES,CAUCA,5.08525,-75.50713889,Temp Aire 2 m,°C
0024035501,0068,2017-10-28T01:45:00.000,16.63128,ARATOCA  - AUT,SANTANDER,ARATOCA,SOGAMOSO,6.70155,-73.06749167,Temp Aire 2 m,°C
0053115502,0068,2019-07-01T12:10:00.000,23.15257,JULIO FERNANDEZ  - AUT,VALLE DEL CAUCA,RESTREPO,TAPAJE - DAGUA - DIRECTOS,3.809163889,-76.53305556,Temp Aire 2 m,°C
2120000102,0068,2018-10-29T13:36:00.000,15.31,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.635,-74.205,Temp Aire 2 m,°C
0023015501,0068,2016-08-03T23:00:00.000,21.8,FRESNO  - AUT,TOLIMA,FRESNO,MEDIO MAGDALENA,5.155638889,-75.00313611,Temp Aire 2 m,°C
0026125502,0068,2016-09-28T15:15:00.000,29.2,CAICEDONIA  - AUT,VALLE DEL CAUCA,CAICEDONIA,CAUCA,4.297558333,-75.86396111,Temp Aire 2 m,°C
0026085501,0068,2019-03-26T00:30:00.000,18.48933,LA CELIA  - AUT,RISARALDA,LA CELIA,CAUCA,5.001330556,-75.998,Temp Aire 2 m,°C
0052035501,0068,2019-05-15T00:25:00.000,18.11675,EL SAUCE  - AUT,NARIÑO,LA UNIÓN,PATÍA,1.615555556,-77.10971944,Temp Aire 2 m,°C
0026055501,0068,2018-02-24T02:50:00.000,16.36369,GINEBRA  - AUT,VALLE DEL CAUCA,GINEBRA,CAUCA,3.738388889,-76.22083056,Temp Aire 2 m,°C
0021206810,0068,2015-03-21T16:50:00.000,18.5,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.55,-74.233,Temp Aire 2 m,°C
0054035501,0068,2019-06-01T16:05:00.000,21.52563,SANTIAGO GUTIERREZ  - AUT,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.726388889,-76.11446944,Temp Aire 2 m,°C
2120000105,0068,2019-04-17T09:46:00.000,16,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.763,-74.022,Temp Aire 2 m,°C
2121500042,0068,2019-03-14T11:00:00.000,18.1,EL SILENCIO - AUT,TOLIMA,IBAGUÉ,ALTO MAGDALENA,4.600222222,-75.336,Temp Aire 2 m,°C
0029015040,0068,2013-12-20T13:00:00.000,36.6,CARMEN DE BOLIVAR  - AUT,BOLIVAR,EL CARMÉN DE BOLÍVAR,BAJO MAGDALENA,9.71575,-75.10641667,Temp Aire 2 m,°C
0016055501,0068,2019-04-15T04:35:00.000,18.7378,GABRIEL MARIA  - AUT,NORTE DE SANTANDER,CONVENCIÓN,CATATUMBO,8.412497222,-73.33944167,Temp Aire 2 m,°C
0016015502,0068,2017-08-16T09:10:00.000,23.13652,BLONAY  - AUT,NORTE DE SANTANDER,CHINÁCOTA,CATATUMBO,7.564997222,-72.62110833,Temp Aire 2 m,°C
0026125300,0068,2013-11-13T07:00:00.000,14.7,CALARCA - AUT,QUINDÍO,CALARCÁ,CAUCA,4.528305556,-75.59638889,Temp Aire 2 m,°C
0028045501,0068,2017-08-22T11:45:00.000,27.52435,PUEBLO BELLO  - AUT,CESAR,PUEBLO BELLO,CESAR,10.42166667,-73.57471944,Temp Aire 2 m,°C
0023065501,0068,2017-08-05T10:40:00.000,25.81313,PACHO  - AUT,CUNDINAMARCA,PACHO,MEDIO MAGDALENA,5.129127778,-74.15769722,Temp Aire 2 m,°C
0052055150,0068,2006-05-09T19:00:00.000,6.5,CERRO PARAMO  - AUT,NARIÑO,PUERRES,PATÍA,0.843111111,-77.38880556,Temp Aire 2 m,°C
