estacion,departamento,municipio,latitud,longitud,altitud,tipo_de_estacion,promedio_anual,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
Aeropuerto Sesquicentenario,San Andrés y Providencia,San Andrés,12.54,-81.73,1,Automática,5259.8,4716.4,6145,6630.6,5910.1,5432,5005.1,5444.9,5268.3,5193.1,4591.7,4364.2,4416.1
Serranilla,San Andrés y Providencia,Serranilla,15.8,-79.85,3,Sutron,4993.4,4424.4,4817.4,5445.3,5881.2,5847.5,5835.4,5696.5,5398.9,4466.7,4191.7,4245,3671
Vizcaína-La Lizama,Santander,Barrancabermeja,6.98,-73.7,114,Automática,4580.4,4605.1,4744.5,4479.7,4360.5,4428.3,4532.8,4776.1,4949.2,4918.1,4664.4,4268.7,4237
Neomundo,Santander,Bucaramanga,7.1,-73.11,970,Automática,4451.5,4443.3,4796.2,4659.9,4734.2,4472.2,4258.6,4251.2,4414.5,4622.3,4386.5,4044,4335.5
Aeropuerto Palonegro,Santander,Lebrija,7.12,-73.18,1189,Automática,4766.7,5083.8,5329.9,4812.9,4543.1,4517.1,4580.2,4666.7,4421.2,5016.2,4846,4549.4,4833.5
Mogotes,Santander,Mogotes,6.47,-72.97,1673,Automática,4122.4,4374.9,4583.3,4053.1,4033.9,3924.6,4002.3,4014.1,4173.2,4194.8,4094.5,3956.4,4063.6
El Cucharo,Santander,Pinchote,6.53,-73.2,975,Convencional,4928.9,4862.1,4889.1,4969.9,4813.3,4788.5,4727.6,4789.8,5118.6,5100.5,5116.8,4982.2,4988.8
San Vicente de Chucurí,Santander,San Vicente de Chucurí,6.82,-73.47,1073,Automática,3274.2,3366,3625.4,3017.1,3016.5,3119.8,3418.7,3589.5,3629.2,3652.2,3170.3,2872.8,2813.4
El Tesoro - IDEAM,Sucre,Morroa,9.36,-75.29,168,Automática,4749,5081.4,5488.5,5479,4803.9,4386.5,5115.5,4857.1,4979,4181.9,4015,4231.1,4368.7
San Marcos,Sucre,San Marcos,8.6,-75.14,31,Automática,4879.9,5049.7,5162.3,5098.3,4922.2,4656.4,4957.7,5158.8,5212.1,4898,4622.9,4335.8,4484.3
Puerta  Roja,Sucre,Sincelejo,9.32,-75.39,160,Automática,4465,5003.3,5240.1,4795,4429.4,3995.7,4613.1,4602.4,4517.8,4397.9,3977.8,3750.9,4256.4
Hacienda Pajonales,Tolima,Ambalema,4.76,-74.83,277,Automática,4938.5,4863.2,4839.1,4511.4,4915.3,4904.1,4896.8,5211.8,5156.1,5220.4,4812.6,4885.4,5046.4
Cajamarca,Tolima,Cajamarca,4.44,-75.5,2530,Automática,3954,3731.2,4077.4,4115.6,4035.4,4211.1,3990.4,4254.4,3916.2,3932.8,3918.8,3626.9,3637.7
Nataima,Tolima,Espinal,4.19,-74.96,393,Automática,5003.7,4399.5,5146.3,4851.7,5100.8,4891.9,5105.9,5229,5336.2,5644.3,5259.5,4701.1,4377.9
Guamo,Tolima,Guamo,4.01,-74.98,360,Convencional,5035.2,5016.8,4783.9,4511,4979.6,5077.9,4824.6,5035.4,5442.9,5519.9,5395.2,5006.9,4828.2
Aeropuerto Perales,Tolima,Ibagué,4.42,-75.14,943,Convencional,4668.6,4615.6,4583.3,4621.2,4659.7,4627.9,4717.9,4896.1,5037.4,4846.8,4679.7,4404.6,4332.7
Batallón Rooke,Tolima,Ibagué,4.42,-75.25,1323,Automática,4669.6,4507.3,4546.3,4579.3,4532.7,4555.7,4985.3,5160.1,4981.4,5087.8,4621.3,4208.1,4269.5
Cerros Noroccidentales,Tolima,Ibagué,4.47,-75.24,1946,Automática,3463.8,3515.5,3242.6,3007.1,3320.4,3102.1,3584.5,4085.8,4330.9,4622.8,3405.3,2535.5,2812.9
Murillo,Tolima,Murillo,4.87,-75.17,3023,Automática,4323.3,3692.8,3880.7,3944.4,4051.6,4640.1,5260.4,5402,5188,4914.5,3846.2,3455.5,3603.4
Las Brisas,Valle del Cauca,Ansermanuevo,4.78,-76.14,1971,Automática,4622.7,4335.8,4280.4,4324.8,4401.5,4368.9,4975,5294.2,5174.4,5234.5,4616.6,4112.2,4353.9
Base aerea Marco Fidel Suarez,Valle del Cauca,Cali,3.45,-76.5,975,Automática,4772.2,4513.5,4823.4,4704.5,4839.7,4477.3,4627.4,5197.6,5595,5275.2,4512,4224,4477.2
Siloe,Valle del Cauca,Cali,3.43,-76.56,1238,Automática,4372.9,4122.4,4481.3,4533.9,4370.4,4131.4,4260.9,4738,4738.9,4961.7,4320.6,3751.5,4063.9
Univalle,Valle del Cauca,Cali,3.38,-76.53,996,Automática,4510.2,4568.3,4564.2,4525.8,4436.1,4312.8,4488.1,4762.5,4829.5,4794.4,4473.5,4133.4,4234.4
Zaragoza,Valle del Cauca,Cartago,4.69,-75.93,943,Automática,5206.7,5038,5050.5,5450.6,5271.9,5116.4,5197,5457.2,5382.2,5701.1,5059.5,4938.4,4817.3
La Diana,Valle del Cauca,Florida,3.31,-76.19,1615,Automática,3614.1,3783.8,3961.6,3668.8,3563.4,3382.2,3476.3,3600.3,3758.4,3813.4,3543.3,3342.7,3475
El Vinculo,Valle del Cauca,Guadalajara de Buga,3.83,-76.3,981,Automática,4302,4300.9,3992,4448.7,4498.5,4138.6,4219.7,4341,4379.7,4588.7,4222.4,4196.3,4297.6
La independencia,Valle del Cauca,Jamundí,3.19,-76.57,997,Automática,5065.5,5062.9,5373.4,5121.5,4971.5,4719.5,4669.1,5015.3,5318.3,5537,5218.1,4878.7,4900.1
Aeropuerto Alfonso Bonilla Aragón,Valle del Cauca,Palmira,3.53,-76.38,961,Automática,4916.1,5019.7,5210,5076,4599,4751.1,4707.2,5032.5,4729,5280.3,4951.4,4775.1,4861.7
Ing. Manuelita,Valle del Cauca,Palmira,3.57,-76.28,1020,Convencional,4524.5,4658.4,4628.7,4675.2,4529.6,4370.9,4241.6,4553.6,4701.2,4606.9,4552.2,4367.8,4407.4
Las Gaviotas,Vichada,Cumaribo,4.55,-70.93,171,Convencional,4462.9,5160,5015.6,4708.3,4254,4016.3,3849.8,4007.2,4238.9,4563.5,4502.4,4398.9,4839.8
