codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,valorobservado_lag_1,valorobservado_lag_2,valorobservado_lag_7,valorobservado_rolling_mean_7,valorobservado_rolling_std_7,valorobservado_rolling_mean_14,valorobservado_rolling_std_14,sin_mes,cos_mes,sin_dia_ano,cos_dia_ano,sin_dia_semana,cos_dia_semana
56015010,240,2020-03-11 05:20:00,0.0,PR CHOCO: PANAMERICANA,CHOCÓ,BAHÍA SOLANO (MUTIS),PACÍFICO - DIRECTOS,6.223,-77.404,Precipitacion,mm,0.0,0.0,0.8,0.0,0.0,0.07857142857142856,0.22249830225306105,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
37057020,240,2020-03-11 05:20:00,0.0,ALCARAVAN  AUT,ARAUCA,ARAUQUITA,ARAUCA,7.035,-71.41638889,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.07857142857142856,0.22249830225306105,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
47015100,240,2020-03-11 05:20:00,0.0,EL ENCANO - AUT,NARIÑO,PASTO,PUTUMAYO,1.159944444,-77.16147222,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.07857142857142856,0.22249830225306105,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
24035360,240,2020-03-11 05:30:00,0.0,SOCHA - AUT,BOYACÁ,SOCHA,SOGAMOSO,5.985416667,-72.99702778,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.07857142857142856,0.22249830225306105,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
37015030,240,2020-03-11 05:30:00,0.0,BERLIN - AUT,SANTANDER,TONA,ARAUCA,7.187,-72.8685,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.07857142857142856,0.22249830225306105,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
28045501,240,2020-03-11 05:35:00,0.0,PUEBLO BELLO  - AUT,CESAR,PUEBLO BELLO,CESAR,10.42166667,-73.57471944,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.2138089935299395,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26055120,240,2020-03-11 05:40:00,0.0,UNIVERSIDAD DEL VALLE  - AUT,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.2138089935299395,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
23197700,240,2020-03-11 05:50:00,0.0,MAJADAS - AUT,SANTANDER,BUCARAMANGA,MEDIO MAGDALENA,7.160277778,-73.09305556,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26015030,240,2020-03-11 05:50:00,0.0,PNN PURACE - AUT,CAUCA,PURACÉ (COCONUCO),CAUCA,2.356848889,-76.40354389,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21137030,240,2020-03-11 06:00:00,0.0,PUENTE CARRETERA  - AUT,HUILA,AIPE,ALTO MAGDALENA,3.263416667,-75.25097222,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
25025030,240,2020-03-11 06:00:00,0.0,AYAPEL,CÓRDOBA,AYAPEL,BAJO MAGDALENA- CAUCA -SAN JORGE,8.295,-75.165,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
35105050,240,2020-03-11 06:00:00,0.0,GUAICARAMO  - AUT,META,BARRANCA DE UPÍA,META,4.468666667,-72.95358333,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
23195200,240,2020-03-11 06:00:00,0.0,CACHIRI  - AUT,SANTANDER,SURATÁ,MEDIO MAGDALENA,7.473888889,-72.99111111,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
3706500109,240,2020-03-11 06:00:00,0.0,ARAUCA TERMINAL - AUT,ARAUCA,ARAUCA,ARAUCA,7.063780556,-70.733080556,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26135501,240,2020-03-11 06:15:00,0.0,EL PILAMO  - AUT,RISARALDA,PEREIRA,CAUCA,4.868333333,-75.79333333,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21237020,240,2020-03-11 06:20:00,0.0,ARRANCAPLUMAS  - AUT,CUNDINAMARCA,GUADUAS,ALTO MAGDALENA,5.202416667,-74.72761111,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26115501,240,2020-03-11 06:30:00,0.0,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,CAUCA,4.213611111,-76.31497222,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
