codigo_estacion,nombre_estacion,departamento,municipio,latitud,longitud,cod_dpto_divipola,depto_normalizado
21055070,INZA - AUT,CAUCA,INZÁ,2.548194444,-76.06394444,19,CAUCA
24035360,SOCHA - AUT,BOYACÁ,SOCHA,5.985416667,-72.99702778,15,BOYACA
26180250,VALLE ALTO  - AUT,CALDAS,SALAMINA,5.35,-75.31777778,17,CALDAS
52025090,LA SIERRA - AUT,CAUCA,LA SIERRA,2.193833333,-76.75033333,19,CAUCA
22077050,PIJAITO  - AUT,TOLIMA,ROVIRA,4.150388889,-75.306,73,TOLIMA
21197080,BONANZA LA HACIENDA  - AUT,CUNDINAMARCA,SILVANIA,4.400027778,-74.36358333,25,CUNDINAMARCA
21215180,BATALLON ROOKE  - AUT,TOLIMA,IBAGUÉ,4.418388889,-75.24866667,73,TOLIMA
35025080,PNN CHINGAZA - AUT,CUNDINAMARCA,LA CALERA,4.661,-73.82733333,25,CUNDINAMARCA
22045502,EL RUBY  - AUT,TOLIMA,PLANADAS,3.95,-75.66666667,73,TOLIMA
33035010,CARIMAGUA,META,PUERTO GAITÁN,4.574,-71.341,50,META
2403500084,MONGUA - AUT,BOYACÁ,MONGUA,5.758019444,-72.79485,15,BOYACA
21185501,ROVIRA  - AUT,TOLIMA,ROVIRA,4.266666667,-75.28305556,73,TOLIMA
